wavelength	B1	B2	B3	B4
644	0.002842202	0.001451919	0.854107213	0.03460626
645	0.00297678	0.00145868	0.855393313	0.033335294
646	0.003313595	0.001925694	0.856658427	0.032332347
647	0.00365041	0.002392708	0.857923542	0.031329401
648	0.003987225	0.002859722	0.859188656	0.030326455
649	0.00432404	0.003326736	0.860453771	0.029323509
650	0.004660855	0.00379375	0.861718885	0.028320563
651	0.005080743	0.00404501	0.863105452	0.027951542
652	0.005500631	0.00429627	0.864492019	0.027582522
653	0.005920518	0.004547531	0.865878587	0.027213501
654	0.006340406	0.004798791	0.867265154	0.02684448
655	0.006760294	0.005050051	0.868651721	0.026475459
656	0.006428476	0.004847458	0.876234722	0.02618167
657	0.006096659	0.004644865	0.883817724	0.02588788
658	0.005764841	0.004442272	0.891400725	0.02559409
659	0.005433024	0.004239679	0.898983727	0.0253003
660	0.005101206	0.004037086	0.906566728	0.02500651
661	0.005076143	0.004066035	0.909941148	0.02370934
662	0.00505108	0.004094985	0.913315569	0.02241217
663	0.005026017	0.004123934	0.916689989	0.021115
664	0.005000954	0.004152884	0.92006441	0.019817829
665	0.004975891	0.004181833	0.92343883	0.018520659
666	0.004522415	0.004022634	0.927440594	0.017992749
667	0.004068939	0.003863435	0.931442359	0.017464839
668	0.003615464	0.003704237	0.935444123	0.016936929
669	0.003161988	0.003545038	0.939445888	0.016409019
670	0.002708512	0.003385839	0.943447652	0.015881109
671	0.002505933	0.003470359	0.949226079	0.015811326
672	0.002303354	0.00355488	0.955004507	0.015741542
673	0.002100776	0.0036394	0.960782934	0.015671758
674	0.001898197	0.003723921	0.966561362	0.015601974
675	0.001695618	0.003808441	0.972339789	0.01553219
676	0.001695295	0.003886489	0.975464889	0.015557463
677	0.001694972	0.003964537	0.978589989	0.015582737
678	0.001694648	0.004042584	0.98171509	0.01560801
679	0.001694325	0.004120632	0.98484019	0.015633283
680	0.001694002	0.00419868	0.98796529	0.015658556
681	0.001699317	0.003910185	0.990372232	0.015481731
682	0.001704632	0.003621691	0.992779174	0.015304906
683	0.001709946	0.003333196	0.995186116	0.015128081
684	0.001715261	0.003044702	0.997593058	0.014951256
685	0.001720576	0.002756207	1	0.014774432
686	0.001602549	0.002623253	0.902111138	0.013347824
687	0.001484522	0.002490299	0.804222276	0.011921215
688	0.001366495	0.002357344	0.706333415	0.010494607
689	0.001248468	0.00222439	0.608444553	0.009067999
690	0.001130441	0.002091436	0.510555691	0.007641391
691	0.001047389	0.002244442	0.417967845	0.006338182
692	0.000964338	0.002397448	0.325379999	0.005034973
693	0.000881286	0.002550455	0.232792154	0.003731764
694	0.000798235	0.002703461	0.140204308	0.002428556
695	0.000715183	0.002856467	0.047616462	0.001125347
696	0.000770058	0.003279694	0.039458787	0.001094896
697	0.000824932	0.003702921	0.031301113	0.001064446
698	0.000879807	0.004126147	0.023143438	0.001033996
699	0.000934681	0.004549374	0.014985764	0.001003546
700	0.000989556	0.004972601	0.006828089	0.000973096
701	0.001188166	0.004746642	0.005936017	0.001572497
702	0.001386776	0.004520683	0.005043946	0.002171898
703	0.001585387	0.004294723	0.004151874	0.002771299
704	0.001783997	0.004068764	0.003259803	0.0033707
705	0.001982607	0.003842805	0.002367731	0.003970101
706	0.001882885	0.003752401	0.002211861	0.004878001
707	0.001783163	0.003661998	0.002055991	0.0057859
708	0.001683442	0.003571594	0.001900121	0.0066938
709	0.00158372	0.003481191	0.001744251	0.0076017
710	0.001483998	0.003390787	0.001588381	0.0085096
711	0.001384316	0.003592861	0.001640703	0.007489514
712	0.001284634	0.003794934	0.001693025	0.006469428
713	0.001184952	0.003997008	0.001745346	0.005449343
714	0.00108527	0.004199081	0.001797668	0.004429257
715	0.000985588	0.004401155	0.00184999	0.003409171
716	0.000979579	0.00465447	0.001940856	0.002933829
717	0.00097357	0.004907785	0.002031721	0.002458487
718	0.000967562	0.005161099	0.002122587	0.001983146
719	0.000961553	0.005414414	0.002213452	0.001507804
720	0.000955544	0.005667729	0.002304318	0.001032462
721	0.000930571	0.005720873	0.00214446	0.000939395
722	0.000905598	0.005774017	0.001984601	0.000846328
723	0.000880625	0.00582716	0.001824743	0.000753261
724	0.000855652	0.005880304	0.001664884	0.000660194
725	0.000830679	0.005933448	0.001505026	0.000567127
726	0.000769587	0.005914314	0.00142439	0.000546082
727	0.000708495	0.00589518	0.001343754	0.000525036
728	0.000647402	0.005876046	0.001263117	0.000503991
729	0.00058631	0.005856912	0.001182481	0.000482946
730	0.000525218	0.005837778	0.001101845	0.0004619
731	0.00048639	0.005795933	0.001129729	0.000473061
732	0.000447563	0.005754088	0.001157613	0.000484222
733	0.000408735	0.005712244	0.001185496	0.000495384
734	0.000369908	0.005670399	0.00121338	0.000506545
735	0.00033108	0.005628554	0.001241264	0.000517706
736	0.000322739	0.005511594	0.00140443	0.00055314
737	0.000314398	0.005394633	0.001567595	0.000588574
738	0.000306057	0.005277673	0.001730761	0.000624008
739	0.000297716	0.005160712	0.001893926	0.000659442
740	0.000289375	0.005043752	0.002057092	0.000694876
741	0.000309599	0.005058138	0.002360826	0.000857333
742	0.000329822	0.005072524	0.002664559	0.001019789
743	0.000350046	0.005086909	0.002968293	0.001182246
744	0.000370269	0.005101295	0.003272026	0.001344703
745	0.000390493	0.005115681	0.00357576	0.00150716
746	0.000524756	0.005325457	0.00389472	0.00246352
747	0.00065902	0.005535234	0.00421368	0.00341988
748	0.000793283	0.00574501	0.004532641	0.00437624
749	0.000927547	0.005954787	0.004851601	0.005332601
750	0.00106181	0.006164563	0.005170561	0.006288961
751	0.001950862	0.006210302	0.005172371	0.014205558
752	0.002839913	0.006256041	0.00517418	0.022122155
753	0.003728965	0.006301779	0.00517599	0.030038752
